"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"10-08.270519.7","1","1","1","0","0","0","0","20190527","20190828"
"100-16.270519.7","1","1","1","0","0","0","0","20190527","20190828"
"1000-02.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1001-03.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1002-04.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1003-05.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1004-06.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1005-07.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1006-08.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1007-01.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1008-02.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1009-03.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"101-17.270519.7","1","1","1","0","0","0","0","20190527","20190828"
"1010-04.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1011-05.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1012-06.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1013-07.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1014-08.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1015-01.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1016-02.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1017-03.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1018-04.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1019-05.260519.64","0","0","0","0","0","0","1","20190526","20190825"
"102-09.270519.7","1","1","1","0","0","0","0","20190527","20190828"
"1020-06.260519.64","0","0","0","0","0","0","1","20190526","20190825"
"1021-07.260519.64","0","0","0","0","0","0","1","20190526","20190825"
"1022-08.260519.64","0","0","0","0","0","0","1","20190526","20190825"
"1023-01.260519.64","0","0","0","0","0","0","1","20190526","20190825"
"1024-02.260519.64","0","0","0","0","0","0","1","20190526","20190825"
"1025-03.260519.64","0","0","0","0","0","0","1","20190526","20190825"
"1026-04.260519.64","0","0","0","0","0","0","1","20190526","20190825"
"1027-05.260519.64","0","0","0","0","0","0","1","20190526","20190825"
"1028-06.260519.64","0","0","0","0","0","0","1","20190526","20190825"
"1029-07.260519.64","0","0","0","0","0","0","1","20190526","20190825"
"103-18.270519.7","1","1","1","0","0","0","0","20190527","20190828"
"1030-01.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1031-02.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1032-03.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1033-04.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1034-05.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1035-06.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1036-07.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1037-08.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1038-01.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1039-02.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"104-10.270519.7","1","1","1","0","0","0","0","20190527","20190828"
"1040-03.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1041-04.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1042-05.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1043-06.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1044-07.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1045-08.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1046-01.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1047-02.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1048-03.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1049-04.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"105-19.270519.7","1","1","1","0","0","0","0","20190527","20190828"
"1050-05.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1051-06.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1052-07.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1053-08.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1054-01.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1055-02.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1056-03.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1057-04.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1058-05.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1059-06.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"106-11.270519.7","1","1","1","0","0","0","0","20190527","20190828"
"1060-07.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1061-08.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1062-01.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1063-02.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1064-03.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1065-04.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1066-05.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1067-06.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1068-07.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1069-08.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"107-20.270519.7","1","1","1","0","0","0","0","20190527","20190828"
"1070-01.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1071-02.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1072-03.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1073-04.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1074-05.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1075-06.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1076-07.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1077-08.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1078-01.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1079-02.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"108-12.270519.7","1","1","1","0","0","0","0","20190527","20190828"
"1080-03.010619.32","0","0","0","0","0","1","0","20190601","20190824"
"1081-04.010619.32","0","0","0","0","0","1","0","20190601","20190824"
