"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"SMNW.OUTBOUND","-33.7974797","151.18092","1","0.0"
"SMNW.OUTBOUND","-33.7965822","151.1809048","2","99.55950666132296"
"SMNW.OUTBOUND","-33.7957492","151.1808893","3","191.9659405505376"
"SMNW.OUTBOUND","-33.7954608","151.180884","4","223.95865855094917"
"SMNW.OUTBOUND","-33.7948515","151.1808726","5","291.54966236988116"
"SMNW.OUTBOUND","-33.7941006","151.1808587","6","374.8484451557283"
"SMNW.OUTBOUND","-33.7937892","151.1808529","7","409.39269495604674"
"SMNW.OUTBOUND","-33.7932268","151.1808424","8","471.78092858052906"
"SMNW.OUTBOUND","-33.7930345","151.1808377","9","493.1150264736256"
"SMNW.OUTBOUND","-33.792703","151.1808328","10","529.8873590542296"
"SMNW.OUTBOUND","-33.7922997","151.1808358","11","574.6217107997958"
"SMNW.OUTBOUND","-33.7904504","151.1807936","12","779.7807482214646"
"SMNW.OUTBOUND","-33.7901767","151.1807878","13","810.1439218156147"
"SMNW.OUTBOUND","-33.7900186","151.1807878","14","827.680152540599"
"SMNW.OUTBOUND","-33.7898524","151.1807799","15","846.1293361511936"
"SMNW.OUTBOUND","-33.7896903","151.1807652","16","864.1607072680719"
"SMNW.OUTBOUND","-33.7894883","151.1807436","17","886.6553863435652"
"SMNW.OUTBOUND","-33.7891457","151.1806324","18","926.0268544130804"
"SMNW.OUTBOUND","-33.7888024","151.1804956","19","966.1575714864551"
"SMNW.OUTBOUND","-33.7884346","151.1803132","20","1010.3125458373374"
"SMNW.OUTBOUND","-33.7880422","151.1801523","21","1056.3172408419243"
"SMNW.OUTBOUND","-33.7873958","151.1800155","22","1129.12580261404"
"SMNW.OUTBOUND","-33.7869878","151.179927","23","1175.116831431516"
"SMNW.OUTBOUND","-33.786027","151.1797339","24","1283.1775338942293"
"SMNW.OUTBOUND","-33.7851643","151.1796212","25","1379.4345402714166"
"SMNW.OUTBOUND","-33.7846538","151.1795381","26","1436.5791067444984"
"SMNW.OUTBOUND","-33.7840452","151.179412","27","1505.0869567251227"
"SMNW.OUTBOUND","-33.7836506","151.1792403","28","1551.6548262561755"
"SMNW.OUTBOUND","-33.7832355","151.179016","29","1602.166836593934"
"SMNW.OUTBOUND","-33.7823487","151.1783767","30","1716.976166745819"
"SMNW.OUTBOUND","-33.7819363","151.1780253","31","1773.1160450535267"
"SMNW.OUTBOUND","-33.7815441","151.1776395","32","1829.4124610537945"
"SMNW.OUTBOUND","-33.7809576","151.1769766","33","1918.8649300276857"
"SMNW.OUTBOUND","-33.7805251","151.1763865","34","1991.5877243946136"
"SMNW.OUTBOUND","-33.7802553","151.1759678","35","2040.5724260260017"
"SMNW.OUTBOUND","-33.7799588","151.175445","36","2099.1074487403357"
"SMNW.OUTBOUND","-33.7796846","151.1748683","37","2160.5745389734475"
"SMNW.OUTBOUND","-33.7794483","151.1742702","38","2221.8596576668633"
"SMNW.OUTBOUND","-33.7792933","151.1737811","39","2270.3141482174956"
"SMNW.OUTBOUND","-33.779105","151.1729532","40","2349.7902918021773"
"SMNW.OUTBOUND","-33.7790225","151.1725348","41","2389.609589565349"
"SMNW.OUTBOUND","-33.778986","151.1721627","42","2424.3117044874903"
"SMNW.OUTBOUND","-33.7789355","151.1714083","43","2494.4109403141065"
"SMNW.OUTBOUND","-33.7789438","151.1706618","44","2563.560445490476"
"SMNW.OUTBOUND","-33.7790046","151.1700645","45","2619.2938990802213"
"SMNW.OUTBOUND","-33.779075","151.1696825","46","2655.527422755584"
"SMNW.OUTBOUND","-33.7792989","151.1686671","47","2752.8006212660175"
"SMNW.OUTBOUND","-33.779576","151.1678694","48","2832.823762937277"
"SMNW.OUTBOUND","-33.7799365","151.1670658","49","2917.315955125535"
"SMNW.OUTBOUND","-33.7803118","151.166404","50","2991.4120188996635"
"SMNW.OUTBOUND","-33.7808929","151.1655664","51","3092.273530602414"
"SMNW.OUTBOUND","-33.7816426","151.1647395","52","3205.3248591344145"
"SMNW.OUTBOUND","-33.7819786","151.1644024","53","3253.943591870275"
"SMNW.OUTBOUND","-33.7827359","151.1638066","54","3354.4468354093483"
"SMNW.OUTBOUND","-33.7833029","151.1634394","55","3425.9444538928537"
"SMNW.OUTBOUND","-33.7838853","151.1630979","56","3497.8709882999747"
"SMNW.OUTBOUND","-33.7856162","151.1625307","57","3696.9171453311997"
"SMNW.OUTBOUND","-33.787294","151.1618023","58","3894.866300796415"
"SMNW.OUTBOUND","-33.7887996","151.1607054","59","4090.336904676681"
"SMNW.OUTBOUND","-33.7895625","151.1598453","60","4206.550385215715"
"SMNW.OUTBOUND","-33.790316","151.1589843","61","4322.063936359685"
"SMNW.OUTBOUND","-33.7917982","151.157288","62","4549.456468337611"
"SMNW.OUTBOUND","-33.792657","151.1561438","63","4691.941946512329"
"SMNW.OUTBOUND","-33.793008","151.1556535","64","4751.753596150207"
"SMNW.OUTBOUND","-33.7935727","151.1547759","65","4854.362069031677"
"SMNW.OUTBOUND","-33.7941345","151.1538954","66","4956.987340235609"
"SMNW.OUTBOUND","-33.7947897","151.152657","67","5092.75902329909"
"SMNW.OUTBOUND","-33.7951397","151.1519784","68","5166.625773811655"
"SMNW.OUTBOUND","-33.7954282","151.1513171","69","5235.7225756412845"
"SMNW.OUTBOUND","-33.7960047","151.1494059","70","5423.907155392395"
"SMNW.OUTBOUND","-33.7961539","151.1482313","71","5533.932643630877"
"SMNW.OUTBOUND","-33.7962184","151.1474406","72","5607.503968845208"
"SMNW.OUTBOUND","-33.7961717","151.146744","73","5672.220130271994"
"SMNW.OUTBOUND","-33.7960954","151.1461921","74","5724.024739941088"
"SMNW.OUTBOUND","-33.7960313","151.1457503","75","5765.550805899026"
"SMNW.OUTBOUND","-33.7959599","151.1453104","76","5807.050444460831"
"SMNW.OUTBOUND","-33.7949941","151.1407135","77","6246.021085434795"
"SMNW.OUTBOUND","-33.7945922","151.1389847","78","6412.209347544835"
"SMNW.OUTBOUND","-33.793958","151.1367585","79","6630.041677617069"
"SMNW.OUTBOUND","-33.7936481","151.1358367","80","6722.067876718409"
"SMNW.OUTBOUND","-33.7933554","151.1353522","81","6777.450290308731"
"SMNW.OUTBOUND","-33.7929251","151.134764","82","6849.874042456859"
"SMNW.OUTBOUND","-33.7924987","151.1342493","83","6917.022366499487"
"SMNW.OUTBOUND","-33.792042","151.1338027","84","6982.418614642181"
"SMNW.OUTBOUND","-33.7917259","151.1335221","85","7026.060153733704"
"SMNW.OUTBOUND","-33.7914071","151.1332619","86","7068.851032506655"
"SMNW.OUTBOUND","-33.7910532","151.1330109","87","7114.471440265394"
"SMNW.OUTBOUND","-33.7901643","151.1326064","88","7219.943787602278"
"SMNW.OUTBOUND","-33.7887696","151.1319389","89","7386.536267030751"
"SMNW.OUTBOUND","-33.7883476","151.1317384","90","7436.892593908824"
"SMNW.OUTBOUND","-33.7879659","151.1315344","91","7483.254485069332"
"SMNW.OUTBOUND","-33.7876499","151.1313066","92","7524.164422304009"
"SMNW.OUTBOUND","-33.7871824","151.1309148","93","7587.4540354717465"
"SMNW.OUTBOUND","-33.7868496","151.130569","94","7636.32423252274"
"SMNW.OUTBOUND","-33.7865242","151.1301828","95","7687.138034584866"
"SMNW.OUTBOUND","-33.7835307","151.1261521","96","8186.745759142343"
"SMNW.OUTBOUND","-33.7818939","151.1239573","97","8459.29673890575"
"SMNW.OUTBOUND","-33.7802709","151.1217874","98","8729.111114333047"
"SMNW.OUTBOUND","-33.7792053","151.1203551","99","8906.78926220789"
"SMNW.OUTBOUND","-33.7787037","151.1196551","100","8992.224586994016"
"SMNW.OUTBOUND","-33.7781787","151.1188734","101","9085.14037342576"
"SMNW.OUTBOUND","-33.7775042","151.1179492","102","9198.829362548246"
"SMNW.OUTBOUND","-33.7763532","151.1163772","103","9392.479533002352"
"SMNW.OUTBOUND","-33.7760851","151.1159006","104","9445.70683475897"
"SMNW.OUTBOUND","-33.7758684","151.1155694","105","9484.679452781264"
"SMNW.OUTBOUND","-33.7757266","151.1152973","106","9514.388137910608"
"SMNW.OUTBOUND","-33.7755579","151.1149558","107","9551.140366254516"
"SMNW.OUTBOUND","-33.7754404","151.1146596","108","9581.514681049443"
"SMNW.OUTBOUND","-33.7752622","151.1142323","109","9625.755253311496"
"SMNW.OUTBOUND","-33.7750991","151.1138081","110","9669.012416442072"
"SMNW.OUTBOUND","-33.7749536","151.1133392","111","9715.346944356941"
"SMNW.OUTBOUND","-33.7748288","151.1128369","112","9763.889429016286"
"SMNW.OUTBOUND","-33.7747316","151.1123343","113","9811.6762766787"
"SMNW.OUTBOUND","-33.7746059","151.1113778","114","9901.365290758062"
"SMNW.OUTBOUND","-33.7745785","151.1108032","115","9954.676090824729"
"SMNW.OUTBOUND","-33.7745866","151.1099848","116","10030.488252291803"
"SMNW.OUTBOUND","-33.7746965","151.108991","117","10123.345594034792"
"SMNW.OUTBOUND","-33.7748815","151.1080612","118","10211.881748630849"
"SMNW.OUTBOUND","-33.7754687","151.1062038","119","10395.843676973203"
"SMNW.OUTBOUND","-33.7760551","151.104337","120","10580.58780288682"
"SMNW.OUTBOUND","-33.7772144","151.1006141","121","10948.619452535911"
"SMNW.OUTBOUND","-33.7795666","151.093118","122","11690.339447242384"
"SMNW.OUTBOUND","-33.779899","151.0920366","123","11797.07171451238"
"SMNW.OUTBOUND","-33.7800748","151.0914302","124","11856.526450338866"
"SMNW.OUTBOUND","-33.7801694","151.0908694","125","11909.518179929439"
"SMNW.OUTBOUND","-33.7802085","151.0906309","126","11932.030241663811"
"SMNW.OUTBOUND","-33.7802286","151.0903358","127","11959.453778943018"
"SMNW.OUTBOUND","-33.7802553","151.0900462","128","11986.440106173248"
"SMNW.OUTBOUND","-33.7802538","151.0897603","129","12012.921257502825"
"SMNW.OUTBOUND","-33.7802397","151.0892656","130","12058.768045986584"
"SMNW.OUTBOUND","-33.7801559","151.0885871","131","12122.295779696658"
"SMNW.OUTBOUND","-33.7800066","151.0878919","132","12188.78210085509"
"SMNW.OUTBOUND","-33.7797872","151.0872205","133","12255.560825701543"
"SMNW.OUTBOUND","-33.7794119","151.0864087","134","12341.505962575719"
"SMNW.OUTBOUND","-33.7791562","151.0859504","135","12392.558124194838"
"SMNW.OUTBOUND","-33.7788588","151.0855248","136","12443.959740442695"
"SMNW.OUTBOUND","-33.7785721","151.0851149","137","12493.484578009407"
"SMNW.OUTBOUND","-33.778299","151.0848065","138","12535.120693525927"
"SMNW.OUTBOUND","-33.7781995","151.0847281","139","12548.331842195115"
"SMNW.OUTBOUND","-33.778007","151.0845785","140","12573.785804055413"
"SMNW.OUTBOUND","-33.7778175","151.0844457","141","12598.139508896556"
"SMNW.OUTBOUND","-33.7774357","151.0841984","142","12646.286131374276"
"SMNW.OUTBOUND","-33.7770394","151.0839884","143","12694.354484065414"
"SMNW.OUTBOUND","-33.7766451","151.0837931","144","12741.683127236616"
"SMNW.OUTBOUND","-33.7756814","151.0833627","145","12855.767449440053"
"SMNW.OUTBOUND","-33.7744303","151.0828096","146","13003.692572335392"
"SMNW.OUTBOUND","-33.773747","151.0825013","147","13084.684687890258"
"SMNW.OUTBOUND","-33.772486","151.0818724","148","13236.199278592636"
"SMNW.OUTBOUND","-33.7721993","151.0817393","149","13270.305941681838"
"SMNW.OUTBOUND","-33.771923","151.0815852","150","13304.11393123213"
"SMNW.OUTBOUND","-33.7714822","151.0813989","151","13355.96288449027"
"SMNW.OUTBOUND","-33.7713135","151.0813206","152","13376.031325668564"
"SMNW.OUTBOUND","-33.7710687","151.081211","153","13405.020048345905"
"SMNW.OUTBOUND","-33.7708887","151.0811317","154","13426.293792544855"
"SMNW.OUTBOUND","-33.7706272","151.0810527","155","13456.207827347998"
"SMNW.OUTBOUND","-33.7703565","151.0810078","156","13486.520098259756"
"SMNW.OUTBOUND","-33.7697525","151.0809376","157","13553.8295739971"
"SMNW.OUTBOUND","-33.7695176","151.0809111","158","13579.999652036397"
"SMNW.OUTBOUND","-33.7692071","151.0808192","159","13615.476305927197"
"SMNW.OUTBOUND","-33.7685825","151.0805276","160","13689.835619119622"
"SMNW.OUTBOUND","-33.76829","151.0803467","161","13726.351416864632"
"SMNW.OUTBOUND","-33.7677138","151.0798156","162","13807.005750399994"
"SMNW.OUTBOUND","-33.7674402","151.0795504","163","13846.05046505284"
"SMNW.OUTBOUND","-33.7668794","151.079004","164","13926.245346223219"
"SMNW.OUTBOUND","-33.7663589","151.0784987","165","14000.570311875126"
"SMNW.OUTBOUND","-33.7648722","151.0770416","166","14213.673443760345"
"SMNW.OUTBOUND","-33.7643453","151.0764518","167","14293.679132385108"
"SMNW.OUTBOUND","-33.763897","151.0758416","168","14368.965327271862"
"SMNW.OUTBOUND","-33.7632442","151.0748519","169","14485.794701900264"
"SMNW.OUTBOUND","-33.7627308","151.0740936","170","14576.225587504574"
"SMNW.OUTBOUND","-33.7624612","151.0736423","171","14627.627953761827"
"SMNW.OUTBOUND","-33.7621949","151.0731558","172","14681.514565990474"
"SMNW.OUTBOUND","-33.7620109","151.0728103","173","14719.47525575993"
"SMNW.OUTBOUND","-33.761729","151.0722035","174","14783.801034295642"
"SMNW.OUTBOUND","-33.7611311","151.0709667","175","14916.189210594672"
"SMNW.OUTBOUND","-33.7608907","151.070514","176","14965.887457921068"
"SMNW.OUTBOUND","-33.7604297","151.0696906","177","15057.722084140534"
"SMNW.OUTBOUND","-33.7601129","151.0692067","178","15114.682457630235"
"SMNW.OUTBOUND","-33.759924","151.0689103","179","15149.222787082981"
"SMNW.OUTBOUND","-33.759477","151.0683031","180","15224.207252123677"
"SMNW.OUTBOUND","-33.7587134","151.067384","181","15344.307517517736"
"SMNW.OUTBOUND","-33.7571798","151.0656487","182","15578.362796501851"
"SMNW.OUTBOUND","-33.7569928","151.0654417","183","15606.611851884245"
"SMNW.OUTBOUND","-33.7567878","151.0651526","184","15641.746213334702"
"SMNW.OUTBOUND","-33.7564832","151.0646782","185","15697.183029404929"
"SMNW.OUTBOUND","-33.7555807","151.0633173","186","15858.173930917977"
"SMNW.OUTBOUND","-33.7551107","151.0626285","187","15940.576798507345"
"SMNW.OUTBOUND","-33.7548388","151.0622263","188","15988.515403571246"
"SMNW.OUTBOUND","-33.7545904","151.0618558","189","16032.531668090714"
"SMNW.OUTBOUND","-33.7542936","151.0614111","190","16085.269771203968"
