"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"1599.100.2","0","0","0","0","0","0","1","20180930","20181001"
"1599.100.4","1","0","0","0","0","0","0","20180930","20181001"
"1599.100.6","1","0","0","0","0","0","1","20180930","20181001"
"1597.100.104","0","1","0","1","1","0","0","20181002","20181005"
"1597.100.112","0","0","1","1","1","0","0","20181002","20181005"
"1597.100.120","0","1","1","1","1","0","0","20181002","20181005"
"1597.100.16","0","0","1","0","0","0","0","20181002","20181005"
"1597.100.24","0","1","1","0","0","0","0","20181002","20181005"
"1597.100.32","0","0","0","1","0","0","0","20181002","20181005"
"1597.100.40","0","1","0","1","0","0","0","20181002","20181005"
"1597.100.48","0","0","1","1","0","0","0","20181002","20181005"
"1597.100.56","0","1","1","1","0","0","0","20181002","20181005"
"1597.100.64","0","0","0","0","1","0","0","20181002","20181005"
"1597.100.72","0","1","0","0","1","0","0","20181002","20181005"
"1597.100.8","0","1","0","0","0","0","0","20181002","20181005"
"1597.100.80","0","0","1","0","1","0","0","20181002","20181005"
"1597.100.88","0","1","1","0","1","0","0","20181002","20181005"
"1597.100.96","0","0","0","1","1","0","0","20181002","20181005"
"1077.103.104","0","1","0","1","1","0","0","20181006","20181029"
"1077.103.108","1","1","0","1","1","0","0","20181006","20181029"
"1077.103.112","0","0","1","1","1","0","0","20181006","20181029"
"1077.103.12","1","1","0","0","0","0","0","20181006","20181029"
"1077.103.120","0","1","1","1","1","0","0","20181006","20181029"
"1077.103.124","1","1","1","1","1","0","0","20181006","20181029"
"1077.103.128","0","0","0","0","0","1","0","20181006","20181029"
"1077.103.130","0","0","0","0","0","1","1","20181006","20181029"
"1077.103.16","0","0","1","0","0","0","0","20181006","20181029"
"1077.103.2","0","0","0","0","0","0","1","20181006","20181029"
"1077.103.32","0","0","0","1","0","0","0","20181006","20181029"
"1077.103.36","1","0","0","1","0","0","0","20181006","20181029"
"1077.103.4","1","0","0","0","0","0","0","20181006","20181029"
"1077.103.44","1","1","0","1","0","0","0","20181006","20181029"
"1077.103.48","0","0","1","1","0","0","0","20181006","20181029"
"1077.103.52","1","0","1","1","0","0","0","20181006","20181029"
"1077.103.56","0","1","1","1","0","0","0","20181006","20181029"
"1077.103.60","1","1","1","1","0","0","0","20181006","20181029"
"1077.103.64","0","0","0","0","1","0","0","20181006","20181029"
"1077.103.72","0","1","0","0","1","0","0","20181006","20181029"
"1077.103.8","0","1","0","0","0","0","0","20181006","20181029"
"1077.103.88","0","1","1","0","1","0","0","20181006","20181029"
