"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible"
"RTTA_DEF","1077.103.128","1--A.1077.103.128.M.8.53674026","","","0","","RTTA_DEF","0"
"RTTA_DEF","1077.103.2","1--A.1077.103.2.M.8.53674026","","","0","","RTTA_DEF","0"
"BNK_2a","1077.103.60","1--A.1077.103.60.M.8.53674019","City Circle via Town Hall","","1","26795","BNK_2a","0"
"BNK_2a","1077.103.64","1--A.1077.103.64.M.8.53674019","City Circle via Town Hall","","1","19068","BNK_2a","0"
"BNK_2a","1597.100.48","1--A.1597.100.48.M.8.53499636","City Circle via Town Hall","","1","15479","BNK_2a","0"
"BNK_2a","1597.100.64","1--A.1597.100.64.M.8.53499636","City Circle via Town Hall","","1","8443","BNK_2a","0"
"BNK_2a","1597.100.8","1--A.1597.100.8.M.8.53499637","City Circle via Town Hall","","1","11042","BNK_2a","0"
"RTTA_DEF","1599.100.2","1--A.1599.100.2.M.8.54215978","","","0","","RTTA_DEF","0"
"RTTA_DEF","1599.100.4","1--A.1599.100.4.M.8.54215978","","","0","","RTTA_DEF","0"
"RTTA_REV","1077.103.128","1--B.1077.103.128.M.8.53674024","Central","","1","21708","RTTA_REV","0"
"RTTA_REV","1077.103.2","1--B.1077.103.2.M.8.53674024","Central","","1","24328","RTTA_REV","0"
"APS_1a","1077.103.60","1--B.1077.103.60.M.8.53674018","Turrella","","0","26795","APS_1a","0"
"APS_1a","1077.103.64","1--B.1077.103.64.M.8.53674018","Turrella","","0","19068","APS_1a","0"
"APS_1a","1597.100.48","1--B.1597.100.48.M.8.53499375","Turrella","","0","15479","APS_1a","0"
"APS_1a","1597.100.64","1--B.1597.100.64.M.8.53499375","Turrella","","0","8443","APS_1a","0"
"APS_1a","1597.100.8","1--B.1597.100.8.M.8.53499375","Turrella","","0","11042","APS_1a","0"
"RTTA_REV","1599.100.2","1--B.1599.100.2.M.8.54213203","Central","","1","155","RTTA_REV","0"
"RTTA_REV","1599.100.4","1--B.1599.100.4.M.8.54213203","Central","","1","3674","RTTA_REV","0"
"IWL_1c","1077.103.128","1--C.1077.103.128.M.8.53674031","Leppington","","0","21708","IWL_1c","0"
"IWL_1c","1077.103.2","1--C.1077.103.2.M.8.53674031","Leppington","","0","24328","IWL_1c","0"
"APS_2a","1077.103.60","1--C.1077.103.60.M.8.53674028","Empty Train","","1","26796","APS_2a","0"
"APS_2a","1077.103.64","1--C.1077.103.64.M.8.53674028","Empty Train","","1","19069","APS_2a","0"
"APS_2a","1597.100.48","1--C.1597.100.48.M.8.53499377","Empty Train","","1","15480","APS_2a","0"
"APS_2a","1597.100.64","1--C.1597.100.64.M.8.53499377","Empty Train","","1","8444","APS_2a","0"
"APS_2a","1597.100.8","1--C.1597.100.8.M.8.53499377","Empty Train","","1","11043","APS_2a","0"
"IWL_1c","1599.100.2","1--C.1599.100.2.M.8.54213205","Leppington","","0","155","IWL_1c","0"
"IWL_1c","1599.100.4","1--C.1599.100.4.M.8.54213205","Leppington","","0","3674","IWL_1c","0"
"IWL_2d","1077.103.128","1--D.1077.103.128.M.8.53674038","City Circle via Town Hall","","1","21708","IWL_2d","0"
"IWL_2d","1077.103.2","1--D.1077.103.2.M.8.53674038","City Circle via Town Hall","","1","24328","IWL_2d","0"
"APS_1a","1077.103.60","1--D.1077.103.60.M.8.53674036","Empty Train","","0","26796","APS_1a","0"
"APS_1a","1077.103.64","1--D.1077.103.64.M.8.53674036","Empty Train","","0","19069","APS_1a","0"
"APS_1a","1597.100.48","1--D.1597.100.48.M.8.53499376","Empty Train","","0","15480","APS_1a","0"
"APS_1a","1597.100.64","1--D.1597.100.64.M.8.53499376","Empty Train","","0","8444","APS_1a","0"
"APS_1a","1597.100.8","1--D.1597.100.8.M.8.53499376","Empty Train","","0","11043","APS_1a","0"
"IWL_2d","1599.100.2","1--D.1599.100.2.M.8.54213204","City Circle via Town Hall","","1","155","IWL_2d","0"
"IWL_2d","1599.100.4","1--D.1599.100.4.M.8.54213204","City Circle via Town Hall","","1","3674","IWL_2d","0"
"APS_1a","1077.103.128","1--E.1077.103.128.M.8.53674049","Macarthur","","0","21708","APS_1a","0"
